iter	Passed	Remaining
427	1887	2522
428	1889	2515
429	1892	2508
430	1896	2504
431	1899	2497
432	1901	2490
433	1904	2483
434	1906	2475
435	1910	2472
436	1913	2465
437	1915	2457
438	1917	2450
439	1921	2445
440	1927	2442
441	1930	2437
442	1934	2431
443	1941	2431
444	1945	2426
445	1949	2421
446	1956	2420
447	1960	2415
448	1964	2410
449	1969	2406
450	1976	2405
451	1982	2403
452	1988	2401
453	1994	2398
454	2002	2398
455	2006	2394
456	2014	2394
457	2020	2391
458	2026	2387
459	2032	2385
460	2037	2381
461	2041	2377
462	2049	2376
463	2053	2372
464	2057	2367
465	2064	2366
466	2069	2361
467	2072	2356
468	2078	2353
469	2083	2349
470	2087	2345
471	2099	2348
472	2103	2344
473	2110	2342
474	2116	2338
475	2119	2333
476	2126	2331
477	2130	2326
478	2134	2322
479	2141	2319
480	2144	2314
481	2148	2308
482	2154	2306
483	2158	2301
484	2162	2296
485	2167	2292
486	2172	2288
487	2175	2282
488	2179	2277
489	2184	2273
490	2188	2268
491	2191	2262
492	2195	2257
493	2200	2253
494	2203	2248
495	2206	2242
496	2210	2236
497	2215	2233
498	2219	2228
499	2222	2222
500	2226	2217
501	2230	2212
502	2233	2207
503	2237	2201
504	2242	2198
505	2246	2193
506	2249	2187
507	2253	2182
508	2256	2176
509	2261	2172
510	2264	2167
511	2267	2161
512	2271	2156
513	2275	2151
514	2278	2145
515	2281	2140
516	2284	2134
517	2289	2129
518	2292	2124
519	2295	2119
520	2298	2113
521	2301	2107
522	2305	2102
523	2308	2096
524	2311	2091
525	2314	2085
526	2318	2080
527	2322	2076
528	2326	2071
529	2329	2065
530	2335	2062
531	2338	2057
532	2341	2051
533	2344	2046
534	2349	2041
535	2352	2036
536	2355	2031
537	2358	2025
538	2361	2019
539	2366	2015
540	2369	2010
541	2373	2005
542	2376	2000
543	2381	1995
544	2384	1990
545	2387	1985
546	2390	1979
547	2395	1975
548	2397	1969
549	2400	1964
550	2403	1958
551	2407	1953
552	2410	1948
553	2413	1943
554	2416	1937
555	2419	1931
556	2422	1926
557	2425	1921
558	2429	1916
